MarketID_period,eq_price
201700202,107
201800101,489
201900101,108
202100101,662
202200101,100
202300101,50
202500201,112
202500301,112
202500401,112
202600101,90
202800101,83
202800102,83
202800103,83
202800104,83
202900101,112
202900201,112
203000101,100
203100101,65
203100102,65
203100201,65
203100202,65
203100301,65
203100302,65
203100401,65
203100402,65
203300101,112
203600101,100
203600102,100
203600103,100
203600104,100
203600105,100
203700101,96
203800101,110
203800201,110
203800301,110
204100101,110
204100201,110
204100301,110
204300101,115
204400101,81
204400102,81
204400103,81
204400104,81
204400105,81
204400201,81
204400202,81
204400203,81
204400204,81
204400205,81
204500101,112
204700101,550
204700201,550
204700301,550
204700401,550
204700501,550
204700601,550
204700701,550
204700801,550
204700901,550
205000101,4158
205000102,4158
205000103,4158
205100101,102
205500101,101
205500102,100
205900101,110
205900201,110
206100101,100
206100102,100
206100103,100
206100104,100
206200101,103
206200102,103
206200103,103
206200201,98
206200202,98
206200203,98
206300101,482
206300201,495
206400101,110
206500101,118
206500201,118
206500301,118
206700101,112
206700201,112
206700301,112
206800101,110
206800102,110
206900101,99
206900102,100
206900103,100
206900104,100
206900105,100
207100101,111
207100102,111
207100103,111
207300101,112
207300201,112
207300301,112
207300401,112
207300501,112
207300601,112
207300701,112
207300801,112
207300901,112
207301001,112
207301101,112
207301201,112
207301301,112
207301401,112
207301501,112
207400101,112
207400201,112
207400301,112
207400401,112
207500101,100
207500201,92
207600101,131
207600102,131
207600201,131
207600202,131
207600301,131
207600302,131
207800101,110
207800201,110
208200101,103
208400101,112
208400102,112
208400201,112
208400202,112
208400301,112
208400302,112
208500101,112
208500201,112
208500301,112
208500401,112
208600101,92
208700101,112
208700201,112
208700301,112
208700401,112
208800101,81
208800102,81
208800103,81
208800201,81
208800202,81
208800203,81
208800301,81
208900101,112
208900201,112
208900301,112
209000101,112
209000201,112
209000301,112
209000401,112
209000501,112
209100101,96
209100102,96
209100201,96
209100202,96
209100301,96
209100302,96
209100401,96
209100402,96
209100501,96
209100502,96
209100601,96
209100602,96
209100701,96
209100702,96
209100801,96
209100802,96
209100901,96
209100902,96
209101001,96
209101002,96
209101101,96
209101102,96
209101201,96
209101202,96
209101301,96
209101302,96
209101401,96
209101402,96
209101501,96
209101502,96
